time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1765009585525525500,0.160525390625,0.9976944923400879,0.06308026611804962,0.0019863529596477747,0.02495315857231617,-0.000821990892291069,-0.12630434334278107,-3.0916333198547363
1765009585535525400,0.170525390625,0.9977078437805176,0.06303061544895172,0.0026064433623105288,0.02448229305446148,-0.0021316329948604107,-0.12623490393161774,-3.0926601886749268
1765009585545525500,0.180525390625,0.9977218508720398,0.06286227703094482,0.0028460235334932804,0.0243180301040411,-0.002642628736793995,-0.1259089708328247,-3.093021869659424
1765009585555525400,0.190525390625,0.9977256655693054,0.06278890371322632,0.0028122204821556807,0.024353615939617157,-0.0025737041141837835,-0.12576040625572205,-3.0929460525512695
1765009585565525500,0.200525390625,0.997715950012207,0.06288962066173553,0.002608006354421377,0.024514110758900642,-0.0021376681979745626,-0.1259525865316391,-3.0925967693328857
1765009585575525400,0.210525390625,0.9977045655250549,0.06300675123929977,0.0023810183629393578,0.024700649082660675,-0.0016516210744157434,-0.1261764019727707,-3.0921921730041504
1765009585585525500,0.220525390625,0.997692883014679,0.06308396905660629,0.0019958512857556343,0.025007199496030807,-0.000834030972328037,-0.12631230056285858,-3.0915257930755615
1765009585595525400,0.230525390625,0.9976805448532104,0.06320646405220032,0.0017436300404369831,0.025208814069628716,-0.00029480893863365054,-0.12654510140419006,-3.0910873413085938
1765009585605525500,0.240525390625,0.997664749622345,0.0634050965309143,0.0015789115568622947,0.025345176458358765,0.00006409356137737632,-0.1269346922636032,-3.0907905101776123
1765009585615525400,0.250525390625,0.9976450204849243,0.06370238959789276,0.0015558316372334957,0.025376759469509125,0.0001298395509365946,-0.1275290995836258,-3.09072208404541
1765009585625525500,0.260525390625,0.9976310133934021,0.06391943246126175,0.0015783748822286725,0.025379907339811325,0.00009605244122212753,-0.12796509265899658,-3.090717077255249
1765009585635525400,0.270525390625,0.9976285696029663,0.06393534690141678,0.0014780553756281734,0.025442983955144882,0.00030682122451253235,-0.12799184024333954,-3.0905771255493164
1765009585645525500,0.280525390625,0.9976308941841125,0.06391134113073349,0.0014437157660722733,0.02541373111307621,0.0003708917647600174,-0.12794199585914612,-3.0906317234039307
1765009585655525400,0.290525390625,0.9976335167884827,0.06389328837394714,0.0014388180570676923,0.025355497375130653,0.0003723072004504502,-0.12790560722351074,-3.0907485485076904
1765009585665525500,0.300525390625,0.997637927532196,0.06384172290563583,0.001447077956981957,0.025312764570116997,0.0003475357370916754,-0.12780272960662842,-3.0908358097076416
1765009585675525400,0.310525390625,0.9976411461830139,0.06379397958517075,0.0014350508572533727,0.025306031107902527,0.0003684136609081179,-0.12770646810531616,-3.090848207473755
1765009585685525500,0.320525390625,0.9976441264152527,0.06374429166316986,0.0014232030371204019,0.02531522698700428,0.00039088024641387165,-0.1276063323020935,-3.0908286571502686
1765009585695525400,0.330525390625,0.9976432919502258,0.06374390423297882,0.0014291852712631226,0.025348400697112083,0.000383092527044937,-0.12760582566261292,-3.0907626152038574
1765009585705525500,0.340525390625,0.9976406693458557,0.06375467777252197,0.0014275480061769485,0.025424083694815636,0.0003966749063692987,-0.12762729823589325,-3.0906100273132324
1765009585715525400,0.350525390625,0.9976369142532349,0.06378550082445145,0.0014438163489103317,0.025492362678050995,0.00037432482349686325,-0.12768985331058502,-3.0904743671417236
1765009585725525500,0.360525390625,0.9976326823234558,0.06381548941135406,0.0014174486277624965,0.025585481896996498,0.00044090679148212075,-0.12774856388568878,-3.0902833938598633
1765009585735525400,0.370525390625,0.9976263046264648,0.06388228386640549,0.001383366296067834,0.02566896751523018,0.0005236956058070064,-0.12788058817386627,-3.0901103019714355
1765009585745525500,0.380525390625,0.9976214170455933,0.06394001841545105,0.0013564391992986202,0.02571762539446354,0.0005871483008377254,-0.1279948204755783,-3.090008497238159
1765009585755525400,0.390525390625,0.9976184368133545,0.06398788839578629,0.0013342126039788127,0.025714583694934845,0.0006339675164781511,-0.12808957695960999,-3.0900113582611084
1765009585765525500,0.400525390625,0.9976168870925903,0.06402886658906937,0.0013380328891798854,0.025673070922493935,0.0006230578292161226,-0.1281719207763672,-3.090095281600952
1765009585775525400,0.410525390625,0.9976176023483276,0.06403619796037674,0.0013466138625517488,0.025625482201576233,0.0006000286666676402,-0.12818707525730133,-3.0901920795440674
1765009585785525500,0.420525390625,0.9976181983947754,0.06405262649059296,0.00137107796035707,0.025559687986969948,0.0005431647878140211,-0.1282212883234024,-3.090327501296997
1765009585795525400,0.430525390625,0.9976195096969604,0.06405337154865265,0.0013971966691315174,0.02550634928047657,0.0004837653541471809,-0.12822413444519043,-3.0904383659362793
1765009585805525500,0.440525390625,0.9976206421852112,0.06404995918273926,0.0014304775977507234,0.02546709030866623,0.0004115627089049667,-0.12821902334690094,-3.0905215740203857
1765009585815525400,0.450525390625,0.9976218342781067,0.06403790414333344,0.0014675052370876074,0.02544831857085228,0.0003340245457366109,-0.12819676101207733,-3.090564250946045
1765009585825525500,0.460525390625,0.9976245164871216,0.06400619447231293,0.0015160730108618736,0.025420628488063812,0.0002311068819835782,-0.12813574075698853,-3.0906264781951904
1765009585835525400,0.470525390625,0.9976271390914917,0.06396889686584473,0.0015519108856096864,0.025409169495105743,0.0001556104834889993,-0.12806284427642822,-3.0906543731689453
1765009585845525500,0.480525390625,0.9976291060447693,0.06393815577030182,0.001576634356752038,0.025407442823052406,0.00010406871297163889,-0.12800250947475433,-3.0906612873077393
